URG Flag Count,Fwd Packet Length Mean,Avg Fwd Segment Size,Down/Up Ratio,Packet Length Min,Protocol,Bwd Packet Length Min,CWE Flag Count,ACK Flag Count,Fwd Packet Length Min,Packet Length Mean,Avg Bwd Segment Size,Bwd Packet Length Mean,Fwd Packet Length Max,Avg Packet Size
0,43.0,43.0,1.0,43.0,17,59.0,0,0,43.0,49.4,59.0,59.0,43.0,61.75
0,31.0,31.0,1.0,31.0,17,95.0,0,0,31.0,56.6,95.0,95.0,31.0,70.75
0,48.0,48.0,1.0,48.0,17,48.0,0,0,48.0,48.0,48.0,48.0,48.0,60.0
1,6.0,6.0,2.0,6.0,6,6.0,1,0,6.0,6.0,6.0,6.0,6.0,8.0
0,31.0,31.0,1.0,31.0,17,159.0,0,0,31.0,82.2,159.0,159.0,31.0,102.75
0,43.0,43.0,1.0,43.0,17,59.0,0,0,43.0,49.4,59.0,59.0,43.0,61.75
0,206.18182,206.18182,1.0,0.0,6,0.0,0,1,0.0,330.6184,431.12943,431.12943,1331.0,332.80795
0,45.0,45.0,1.0,45.0,17,61.0,0,0,45.0,51.4,61.0,61.0,45.0,64.25
1,0.0,0.0,0.0,0.0,6,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,50.45714,50.45714,0.0,0.0,6,0.0,0,1,0.0,69.48485,94.0,94.0,436.0,70.55385
1,1.0,1.0,1.0,0.0,6,0.0,0,0,1.0,0.6,0.0,0.0,1.0,0.75
0,165.40741,165.40741,1.0,0.0,6,2.0,0,1,0.0,229.67857,299.85715,299.85715,1533.0,233.85454
0,42.0,42.0,1.0,42.0,17,58.0,0,0,42.0,48.4,58.0,58.0,42.0,60.5
0,179.5625,179.5625,0.0,0.0,6,0.0,0,1,0.0,204.90323,239.93103,239.93103,1910.0,208.2623
0,43.0,43.0,1.0,43.0,17,102.0,0,0,43.0,66.6,102.0,102.0,43.0,83.25
0,97.74468,97.74468,1.0,0.0,6,0.0,0,1,0.0,809.7963,1369.6528,1369.6528,934.0,813.5628
0,37.0,37.0,1.0,37.0,17,93.0,0,0,37.0,59.4,93.0,93.0,37.0,74.25
0,33.0,33.0,1.0,33.0,17,61.0,0,0,33.0,44.2,61.0,61.0,33.0,55.25
0,91.05556,91.05556,0.0,0.0,6,0.0,0,1,0.0,259.97144,466.25,466.25,517.0,267.61765
0,0.0,0.0,4.0,0.0,6,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,44.0,44.0,1.0,44.0,17,60.0,0,0,44.0,50.4,60.0,60.0,44.0,63.0
1,6.0,6.0,3.0,6.0,6,6.0,1,0,6.0,6.0,6.0,6.0,6.0,7.5
1,0.0,0.0,2.0,0.0,6,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.5,15.5,0.0,0.0,6,0.0,0,0,0.0,20.666666,0.0,0.0,31.0,31.0
1,0.0,0.0,2.0,0.0,6,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,2.0,0.0,6,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.0,6.0,2.0,6.0,6,6.0,1,0,6.0,6.0,6.0,6.0,6.0,8.0
0,50.0,50.0,1.0,50.0,17,66.0,0,0,50.0,56.4,66.0,66.0,50.0,70.5
1,0.0,0.0,1.0,0.0,6,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,1.0,0.0,6,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,38.0,38.0,1.0,38.0,17,70.0,0,0,38.0,50.8,70.0,70.0,38.0,63.5
0,43.0,43.0,1.0,43.0,17,109.0,0,0,43.0,69.4,109.0,109.0,43.0,86.75
0,343.7647,343.7647,1.0,0.0,6,0.0,0,1,0.0,926.97296,1497.579,1497.579,1840.0,952.7222
0,45.0,45.0,1.0,45.0,17,111.0,0,0,45.0,71.4,111.0,111.0,45.0,89.25
1,0.0,0.0,1.0,0.0,6,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,34.0,34.0,1.0,34.0,17,79.0,0,0,34.0,52.0,79.0,79.0,34.0,65.0
1,0.0,0.0,2.0,0.0,6,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,206.4,206.4,1.0,0.0,6,0.0,0,1,0.0,277.91595,334.58823,334.58823,1743.0,280.27118
0,32.0,32.0,1.0,32.0,17,48.0,0,0,32.0,38.4,48.0,48.0,32.0,48.0
0,56.0,56.0,1.0,56.0,17,184.0,0,0,56.0,107.2,184.0,184.0,56.0,134.0
0,34.0,34.0,1.0,34.0,17,50.0,0,0,34.0,40.4,50.0,50.0,34.0,50.5
0,31.0,31.0,1.0,31.0,17,159.0,0,0,31.0,82.2,159.0,159.0,31.0,102.75
0,40.727272,40.727272,0.0,0.0,6,0.0,0,1,0.0,57.488373,78.8,78.8,441.0,58.857143
1,6.0,6.0,2.0,6.0,6,6.0,1,0,6.0,6.0,6.0,6.0,6.0,8.0
0,38.0,38.0,1.0,38.0,17,94.0,0,0,38.0,60.4,94.0,94.0,38.0,75.5
1,0.0,0.0,0.0,0.0,6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,31.0,31.0,1.0,31.0,17,108.0,0,0,31.0,61.8,108.0,108.0,31.0,77.25
1,6.0,6.0,2.0,6.0,6,6.0,1,0,6.0,6.0,6.0,6.0,6.0,8.0
1,0.0,0.0,2.0,0.0,6,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
